Row,Alanine and aspartate metabolism,Aminobenzoate degradation,Aminophosphonate metabolism,Aminosugar metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Atrazine degradation,Benzoate degradation,Beta-alanine metabolism,Bile acid metabolism,Bile acid synthesis,Biosynthesis of siderophore group nonribosomal peptides,Biotin metabolism,Butanoate metabolism,C5-branched dibasic acid metabolism,Caffeine metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Cell wall biosynthesis,Chloroalkane and chloroalkene degradation,Cholesterol metabolism,Chondroitin sulfate degradation,Citric acid cycle,CoA catabolism,CoA synthesis,Cyanoamino acid metabolism,D-Arginine and D-ornithine metabolism,Drug metabolism,Exchange/demand reaction,Fatty acid oxidation,Fatty acid synthesis,Folate metabolism,Fructose and mannose metabolism,Galactose metabolism,Glutamate metabolism,Glutathione metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism","Glycine, serine, alanine, and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Heme synthesis,Heparan sulfate degradation,Histidine metabolism,Histone phosphorylation,Hyaluronan metabolism,Inositol phosphate metabolism,Isoquinoline alkaloid biosynthesis,Lipopolysaccharide biosynthesis,Lysine metabolism,Methane metabolism,Methionine and cysteine metabolism,Miscellaneous,N-glycan degradation,N-glycan metabolism,NAD metabolism,"Neomycin, kanamycin and gentamicin biosynthesis",Nitrogen metabolism,Nucleotide interconversion,Nucleotide salvage pathway,Nucleotide sugar metabolism,O-glycan degradation,Others,Oxalate metabolism,Oxidative phosphorylation,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptide metabolism,Phenylalanine metabolism,Phenylpropanoid biosynthesis,Phosphonate and phosphinate metabolism,Plant polysaccharide degradation,Polycyclic aromatic hydrocarbon degradation,Porphyrin and chlorophyll metabolism,Primary amine metabolism,Propanoate metabolism,Purine catabolism,Purine synthesis,Pyrimidine catabolism,Pyrimidine synthesis,Pyruvate metabolism,R group synthesis,ROS detoxification,Respiration,Retinol metabolism,Sphingolipid metabolism,Squalene and cholesterol synthesis,Starch and sucrose metabolism,Steroid metabolism,Stickland reaction,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Tetrahydrobiopterin metabolism,Thiamine metabolism,Toluene degradation,"Transport, extracellular","Transport, periplasmatic","Tropane, piperidine and pyridine alkaloid biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Unassigned,Urea cycle,Valerate metabolism,"Valine, leucine, and isoleucine metabolism",Vitamin B12 metabolism,Vitamin B2 metabolism,Vitamin B6 metabolism,Vitamin C metabolism,Wood-Ljungdahl Pathway,Xenobiotics metabolism,Zeatin biosynthesis,tRNA Charging
Lactobacillus_frumenti_DSM_13145.mat,4,2,0,3,3,1,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,2,2,1,1,0,0,0,56,4,34,3,9,3,1,2,43,0,4,7,1,4,0,10,2,0,1,0,0,4,1,4,1,0,0,1,0,2,14,1,1,0,0,0,0,4,3,0,1,0,0,3,0,0,0,4,2,1,2,0,1,0,0,2,0,0,1,0,0,0,2,0,6,0,4,0,62,13,0,1,0,3,0,3,0,10,4,6,6,0,0,0,0,1
Lactobacillus_gasseri_202_4.mat,4,0,0,4,2,0,0,7,0,2,1,1,0,7,0,0,0,0,2,0,0,0,1,1,1,0,0,1,33,3,42,5,11,4,2,1,65,0,5,1,3,1,0,1,4,0,0,0,9,6,1,4,3,0,0,2,0,0,8,0,0,0,1,2,0,7,9,0,2,0,0,0,0,0,0,2,5,3,0,0,2,0,0,0,1,0,0,7,1,0,0,2,1,1,0,0,51,32,0,4,1,5,0,1,0,7,11,6,4,0,0,1,0,0
Lactobacillus_gasseri_224_1.mat,4,0,0,2,3,1,0,5,0,7,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,35,4,46,7,9,3,1,0,30,0,5,1,0,1,0,1,3,2,0,0,0,5,0,5,2,0,0,0,0,1,9,1,1,0,0,0,1,7,6,0,3,0,0,2,0,0,0,2,6,3,4,0,0,0,0,3,0,0,1,2,0,0,3,2,0,1,1,0,47,28,0,2,2,5,0,2,0,4,11,6,6,0,2,0,0,0
Lactobacillus_gasseri_ATCC_33323.mat,5,1,0,2,3,1,0,5,0,7,1,0,0,4,0,0,0,0,2,0,0,0,1,1,1,0,0,0,34,5,72,6,9,4,1,0,29,0,6,1,0,1,0,0,5,0,0,0,0,5,0,2,2,0,0,3,0,1,7,1,1,0,0,0,0,6,5,0,4,0,0,3,0,0,0,1,3,8,1,0,0,0,0,3,0,0,0,4,0,0,3,3,0,1,3,0,46,22,0,1,3,10,0,1,0,11,12,7,8,0,1,0,0,0
Lactobacillus_gasseri_CECT_5714.mat,7,0,0,4,10,1,0,7,3,2,1,1,0,7,0,0,1,0,4,0,3,0,1,1,1,0,0,0,54,5,44,8,12,5,3,1,62,0,8,1,0,1,0,2,7,0,0,0,9,10,1,5,4,0,0,4,0,2,11,0,0,0,0,2,0,8,9,0,3,0,0,1,0,0,0,4,5,3,4,0,1,0,0,3,1,0,0,7,1,0,0,2,1,1,1,0,64,30,0,3,2,1,0,1,0,10,20,0,7,0,1,1,0,0
Lactobacillus_gasseri_ERR1203930.mat,6,0,0,4,4,0,0,6,3,3,1,0,0,4,0,0,1,0,2,0,0,0,1,0,0,0,0,0,34,4,42,7,8,2,2,1,26,0,3,1,2,1,0,1,4,0,0,0,10,4,0,3,1,0,0,5,0,1,9,3,1,0,0,0,0,6,4,0,1,0,0,3,0,0,0,0,3,4,2,0,1,0,0,3,0,0,0,4,0,0,1,0,1,1,1,0,39,29,0,1,0,0,0,1,0,5,0,6,7,0,1,0,0,0
Lactobacillus_gasseri_ERR1204024.mat,3,0,0,4,6,1,0,6,4,2,2,0,0,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,36,4,41,8,11,2,3,1,26,0,5,1,2,1,0,1,5,0,0,0,10,3,0,4,1,0,0,3,2,1,10,2,1,0,0,0,0,5,3,0,1,0,0,2,0,0,0,4,4,3,3,0,1,0,0,3,0,0,0,4,0,0,1,0,1,1,1,0,41,25,0,1,0,0,0,0,0,6,0,7,7,0,1,0,0,0
Lactobacillus_gasseri_ERR2221164.mat,6,0,0,3,5,0,0,6,3,2,2,0,0,4,0,0,1,0,2,0,0,0,2,0,1,0,0,0,38,3,42,7,7,2,2,1,27,0,4,1,2,1,0,1,5,0,0,0,10,4,0,4,1,0,0,4,2,1,9,2,1,0,0,0,0,6,2,0,1,0,0,2,0,0,0,4,1,5,0,0,0,0,0,3,0,0,0,5,0,0,1,0,1,1,1,0,44,25,0,1,0,0,0,1,0,6,0,6,7,0,1,0,0,0
Lactobacillus_gasseri_ERR2221406.mat,5,0,0,3,5,1,0,6,2,2,1,0,0,5,0,0,1,0,2,0,0,0,1,2,4,0,0,0,38,3,42,8,11,2,2,1,27,0,5,1,1,1,0,1,5,0,0,0,10,4,0,5,1,0,0,3,0,1,9,2,1,0,0,0,0,7,2,0,1,0,0,2,0,0,0,2,4,4,1,0,0,0,0,4,0,0,0,4,0,0,1,2,1,1,1,0,46,30,0,1,0,0,0,2,0,7,0,6,6,0,1,0,0,0
Lactobacillus_gasseri_JV_V03.mat,2,0,0,4,8,2,0,7,4,2,0,1,0,7,0,0,1,0,4,0,0,0,3,1,1,0,0,3,54,4,45,6,12,5,1,2,55,0,6,2,0,1,0,2,2,0,0,0,9,11,0,3,3,0,0,2,0,2,10,0,0,0,1,2,0,12,9,0,5,0,0,0,0,0,0,4,5,3,2,0,0,0,0,1,1,0,0,4,1,0,0,2,1,1,1,2,64,47,0,3,2,6,0,0,0,8,10,6,6,0,1,2,0,0
Lactobacillus_gasseri_K7.mat,3,0,0,5,8,2,0,7,4,2,1,1,0,8,0,0,1,0,2,0,0,2,2,1,1,0,0,2,57,3,42,8,11,2,1,1,31,0,9,2,2,1,0,2,3,0,0,0,9,11,0,2,3,0,0,3,0,2,9,0,0,0,1,2,0,13,8,0,5,0,0,2,0,0,0,4,6,3,3,0,1,0,0,2,1,0,0,6,1,0,1,3,1,1,1,2,66,35,0,3,2,6,0,0,0,7,11,7,6,0,1,2,0,0
Lactobacillus_gasseri_MV_22.mat,6,0,0,4,5,0,0,6,2,2,2,0,0,3,0,0,1,0,2,0,0,0,1,0,1,0,0,0,39,4,41,6,6,2,3,1,27,0,2,1,2,1,0,1,6,0,0,0,10,4,0,4,1,0,0,5,0,1,14,2,1,0,0,0,0,5,4,0,0,0,0,3,0,0,0,1,1,5,2,0,1,0,0,4,0,0,0,6,0,0,1,0,1,1,2,0,42,31,0,1,3,0,0,2,0,6,0,7,6,0,1,0,0,0
Lactobacillus_gasseri_SJ_9E_US.mat,4,0,0,4,8,1,0,8,4,3,1,1,0,7,0,0,1,0,4,1,3,2,1,1,0,0,0,2,61,5,45,6,10,4,1,2,60,0,7,0,3,1,0,2,7,0,0,0,9,12,1,2,3,0,0,3,0,2,8,0,0,0,0,2,0,10,9,0,1,0,0,5,0,0,0,3,4,3,3,0,2,0,0,2,1,0,0,3,1,0,2,3,1,1,1,0,62,42,0,3,3,5,0,0,0,6,10,7,6,0,1,1,0,0
