Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
SP,6500,3750,0.5390293,9
SW,6500,3750,6.806743,12
FC,6500,3850,73.699078,3594
SPcc_SPc,6500,3850,0.6184643,13
SP,6500,3850,0.5146601,9
SW,6500,3850,6.8328488,13
FC,6500,3950,74.4024454,3594
SPcc_SPc,6500,3950,0.5656171,12
SP,6500,3950,0.5566374,9
SW,6500,3950,6.9778582,14
FC,6500,4050,73.9382027,3596
SPcc_SPc,6500,4050,0.5889048,12
SP,6500,4050,0.5247077,9
SW,6500,4050,6.7648794,11
FC,6500,4150,73.1714985,3606
SPcc_SPc,6500,4150,0.585475,12
SP,6500,4150,0.5067251,9
SW,6500,4150,6.7337219,10
FC,6500,4250,74.3828295,3600
SPcc_SPc,6500,4250,0.5960631,12
SP,6500,4250,0.5501079,9
SW,6500,4250,6.9356701,11
FC,6500,4350,73.9145876,3612
SPcc_SPc,6500,4350,0.6205745,14
SP,6500,4350,0.4347263,7
SW,6500,4350,6.7840894,10
FC,6500,4450,73.6513095,3596
SPcc_SPc,6500,4450,0.5603101,12
SP,6500,4450,0.4292443,7
SW,6500,4450,6.7352723,12
FC,6500,4550,74.0704087,3612
SPcc_SPc,6500,4550,0.6201519,14
SP,6500,4550,0.4987444,9
SW,6500,4550,6.7953253,10
FC,6500,4650,73.6016381,3584
SPcc_SPc,6500,4650,0.6106046,12
SP,6500,4650,0.5240473,9
SW,6500,4650,6.7841244,11
FC,6500,4750,74.1073717,3602
SPcc_SPc,6500,4750,0.6417668,16
SP,6500,4750,0.5109528,9
SW,6500,4750,6.7834121,16
FC,6500,4850,73.86135,3602
SPcc_SPc,6500,4850,0.5884324,12
SP,6500,4850,0.5198314,9
SW,6500,4850,6.8187562,12
FC,6500,4950,74.508261,3600
SPcc_SPc,6500,4950,0.5304475,12
SP,6500,4950,0.519368,9
SW,6500,4950,6.9534169,11
FC,7000,50,75.7956356,3483
SPcc_SPc,7000,50,0.7147196,11
SP,7000,50,0.7062258,9
SW,7000,50,12.1975126,10
FC,7000,150,75.3631086,3483
SPcc_SPc,7000,150,0.7402507,11
SP,7000,150,0.6841059,9
SW,7000,150,12.2218877,10
FC,7000,250,75.7874573,3489
SPcc_SPc,7000,250,0.7880476,11
SP,7000,250,0.7276527,9
SW,7000,250,12.1179451,10
FC,7000,350,76.1924807,3483
SPcc_SPc,7000,350,0.7814619,11
SP,7000,350,0.7335124,9
SW,7000,350,12.2435796,11
FC,7000,450,76.1552634,3483
SPcc_SPc,7000,450,0.7436228,11
SP,7000,450,0.7423787,9
SW,7000,450,12.3567875,14
FC,7000,550,75.5567015,3483
SPcc_SPc,7000,550,0.7198271,12
SP,7000,550,0.7248879,9
SW,7000,550,12.2927475,11
FC,7000,650,75.9796057,3499
SPcc_SPc,7000,650,0.7506595,12
SP,7000,650,0.7157764,9
SW,7000,650,12.4062374,13
FC,7000,750,76.0300077,3487
SPcc_SPc,7000,750,0.7645406,12
SP,7000,750,0.6904822,9
SW,7000,750,12.1226429,11
FC,7000,850,75.9784469,3495
SPcc_SPc,7000,850,0.7266267,11
SP,7000,850,0.6941697,9
SW,7000,850,12.3056315,11
FC,7000,950,76.5163756,3493
SPcc_SPc,7000,950,0.7637737,12
SP,7000,950,0.7391408,9
SW,7000,950,12.422163,12
FC,7000,1050,76.4822586,3497
SPcc_SPc,7000,1050,0.7595867,12
SP,7000,1050,0.7117421,9
SW,7000,1050,12.1174601,12
FC,7000,1150,75.616908,3489
SPcc_SPc,7000,1150,0.7108741,11
SP,7000,1150,0.6838605,9
SW,7000,1150,12.0349134,12
FC,7000,1250,76.2361842,3489
SPcc_SPc,7000,1250,0.8126682,12
SP,7000,1250,0.6800372,9
SW,7000,1250,12.1601137,13
FC,7000,1350,76.0965521,3487
SPcc_SPc,7000,1350,0.7657624,12
SP,7000,1350,0.6668731,9
SW,7000,1350,12.1493292,12
FC,7000,1450,75.9585327,3485
SPcc_SPc,7000,1450,0.8044208,13
SP,7000,1450,0.7230844,9
SW,7000,1450,12.280624,10
FC,7000,1550,75.8386558,3501
SPcc_SPc,7000,1550,0.7751263,12
SP,7000,1550,0.7064557,9
SW,7000,1550,12.2450645,15
FC,7000,1650,76.0260152,3493
SPcc_SPc,7000,1650,0.7283898,11
SP,7000,1650,0.6795161,9
SW,7000,1650,12.2604438,13
FC,7000,1750,76.9614722,3497
SPcc_SPc,7000,1750,0.8060581,14
SP,7000,1750,0.7141142,9
SW,7000,1750,12.139972,14
FC,7000,1850,76.1256991,3497
SPcc_SPc,7000,1850,0.8644626,16
SP,7000,1850,0.7116104,9
SW,7000,1850,12.2781948,14
FC,7000,1950,76.1352445,3503
SPcc_SPc,7000,1950,0.7821843,12
SP,7000,1950,0.6763611,9
SW,7000,1950,12.1324714,12
FC,7000,2050,75.8854752,3497
SPcc_SPc,7000,2050,0.749238,12
SP,7000,2050,0.6905971,9
SW,7000,2050,12.0767363,12
FC,7000,2150,76.0655558,3501
SPcc_SPc,7000,2150,0.7676024,13
SP,7000,2150,0.6665686,9
SW,7000,2150,12.1370735,11
FC,7000,2250,76.1988238,3495
SPcc_SPc,7000,2250,0.8306359,15
SP,7000,2250,0.6640501,9
SW,7000,2250,12.8624687,12
FC,7000,2350,76.2851298,3495
SPcc_SPc,7000,2350,0.812457,13
SP,7000,2350,0.7026931,9
SW,7000,2350,12.0592838,11
FC,7000,2450,75.8639993,3505
SPcc_SPc,7000,2450,0.8370541,16
SP,7000,2450,0.6743525,9
SW,7000,2450,12.0178349,12
FC,7000,2550,76.2105216,3509
SPcc_SPc,7000,2550,0.80161,14
SP,7000,2550,0.6634833,9
SW,7000,2550,12.0279584,12
FC,7000,2650,76.0458318,3503
SPcc_SPc,7000,2650,0.7479447,12
SP,7000,2650,0.7145708,9
SW,7000,2650,12.2254023,12
FC,7000,2750,76.5508712,3501
SPcc_SPc,7000,2750,0.7637718,13
SP,7000,2750,0.6813052,9
SW,7000,2750,12.1347035,13
FC,7000,2850,76.0058276,3489
SPcc_SPc,7000,2850,0.7578032,12
SP,7000,2850,0.6702427,9
SW,7000,2850,12.119195,11
FC,7000,2950,75.4743214,3495
SPcc_SPc,7000,2950,0.7710728,13
SP,7000,2950,0.6803523,9
SW,7000,2950,12.1049873,12
FC,7000,3050,76.0315283,3501
SPcc_SPc,7000,3050,0.7727828,13
SP,7000,3050,0.6494044,9
SW,7000,3050,12.7073353,14
FC,7000,3150,76.04571,3503
SPcc_SPc,7000,3150,0.8918633,17
SP,7000,3150,0.6737069,9
SW,7000,3150,12.0568791,13
FC,7000,3250,76.2720255,3505
SPcc_SPc,7000,3250,0.8209807,13
SP,7000,3250,0.6670918,9
SW,7000,3250,12.108852,14
FC,7000,3350,76.4038127,3499
SPcc_SPc,7000,3350,0.8074036,15
SP,7000,3350,0.6384502,9
SW,7000,3350,12.1674024,11
FC,7000,3450,75.5164079,3495
SPcc_SPc,7000,3450,0.737093,12
SP,7000,3450,0.6856952,9
SW,7000,3450,12.0974684,15
FC,7000,3550,75.405551,3497
SPcc_SPc,7000,3550,0.9285805,17
SP,7000,3550,0.6476561,9
SW,7000,3550,11.980693,11
FC,7000,3650,75.649473,3499
SPcc_SPc,7000,3650,0.7610405,12
SP,7000,3650,0.6862866,9
SW,7000,3650,12.287123,13
FC,7000,3750,77.0655066,3495
SPcc_SPc,7000,3750,0.8502291,15
SP,7000,3750,0.6668019,9
SW,7000,3750,12.1629122,12
FC,7000,3850,76.2232907,3501
SPcc_SPc,7000,3850,0.8575547,15
SP,7000,3850,0.6519954,9
SW,7000,3850,12.2592859,11
FC,7000,3950,76.5502974,3499
SPcc_SPc,7000,3950,0.8325895,15
SP,7000,3950,0.6834113,9
SW,7000,3950,12.1448273,12
FC,7000,4050,76.3621531,3503
SPcc_SPc,7000,4050,0.8014958,14
SP,7000,4050,0.6868116,9
SW,7000,4050,12.1204429,10
FC,7000,4150,75.6662953,3499
SPcc_SPc,7000,4150,0.8011265,12
SP,7000,4150,0.6551803,9
SW,7000,4150,12.1035583,10
FC,7000,4250,76.3416731,3495
SPcc_SPc,7000,4250,0.7882333,12
SP,7000,4250,0.7100678,9
SW,7000,4250,12.1686711,13
FC,7000,4350,75.7955676,3491
SPcc_SPc,7000,4350,0.833483,15
SP,7000,4350,0.6591155,9
SW,7000,4350,11.9879253,13
FC,7000,4450,75.5065194,3497
SPcc_SPc,7000,4450,0.7975101,13
SP,7000,4450,0.6628149,9
SW,7000,4450,11.9607862,10
FC,7000,4550,75.6770754,3497
SPcc_SPc,7000,4550,0.8215582,14
SP,7000,4550,0.6786874,9
SW,7000,4550,12.0968206,16
FC,7000,4650,75.8076303,3499
SPcc_SPc,7000,4650,0.79908,14
SP,7000,4650,0.6580867,9
SW,7000,4650,12.1776507,13
FC,7000,4750,76.4719261,3501
SPcc_SPc,7000,4750,0.8253269,14
SP,7000,4750,0.6775191,9
SW,7000,4750,12.6479477,15
FC,7000,4850,76.174188,3501
SPcc_SPc,7000,4850,0.8211184,14
SP,7000,4850,0.6923575,9
SW,7000,4850,12.0679527,11
FC,7000,4950,76.1784156,3485
SPcc_SPc,7000,4950,0.7590449,12
SP,7000,4950,0.6559792,9
SW,7000,4950,12.1270275,12
FC,7500,50,96.3224508,3678
SPcc_SPc,7500,50,0.9651387,11
SP,7500,50,0.9768414,9
SW,7500,50,15.8337987,9
FC,7500,150,96.2622632,3678
SPcc_SPc,7500,150,0.8004933,9
SP,7500,150,0.8034589,7
SW,7500,150,15.7228256,13
FC,7500,250,95.9912947,3678
SPcc_SPc,7500,250,0.990502,11
SP,7500,250,0.9785733,9
SW,7500,250,15.9325792,9
FC,7500,350,96.5167208,3678
SPcc_SPc,7500,350,0.8291717,9
SP,7500,350,0.7982488,7
SW,7500,350,15.6222875,12
FC,7500,450,95.8183678,3678
SPcc_SPc,7500,450,0.8190432,9
SP,7500,450,0.9499907,9
SW,7500,450,15.6807716,12
FC,7500,550,96.1203262,3678
SPcc_SPc,7500,550,0.9606818,11
SP,7500,550,0.9080287,9
SW,7500,550,16.063827,12
FC,7500,650,95.7601444,3678
SPcc_SPc,7500,650,0.7915873,9
SP,7500,650,0.9423539,9
SW,7500,650,15.6363501,11
FC,7500,750,95.8750187,3686
SPcc_SPc,7500,750,1.0196414,13
SP,7500,750,0.9679896,9
SW,7500,750,15.6475187,13
FC,7500,850,96.7423195,3688
SPcc_SPc,7500,850,0.8458728,9
SP,7500,850,0.9407919,9
SW,7500,850,15.4623878,11
FC,7500,950,96.2221958,3690
SPcc_SPc,7500,950,0.8573247,10
SP,7500,950,0.9215527,9
SW,7500,950,15.6088766,14
FC,7500,1050,95.8514172,3680
SPcc_SPc,7500,1050,0.9678031,11
SP,7500,1050,0.9543372,9
SW,7500,1050,16.0535306,11
FC,7500,1150,98.8189693,3680
SPcc_SPc,7500,1150,0.9990055,12
SP,7500,1150,0.859176,7
SW,7500,1150,16.914947,19
FC,7500,1250,101.86773,3678
SPcc_SPc,7500,1250,1.151017,15
SP,7500,1250,1.0354992,9
SW,7500,1250,19.483681,13
FC,7500,1350,116.1078739,3688
SPcc_SPc,7500,1350,0.9931481,12
SP,7500,1350,0.9053895,9
SW,7500,1350,15.7891305,14
FC,7500,1450,96.3218724,3692
SPcc_SPc,7500,1450,0.9918498,12
SP,7500,1450,0.993173,9
SW,7500,1450,15.7177771,12
FC,7500,1550,96.7969985,3686
SPcc_SPc,7500,1550,1.0520601,14
SP,7500,1550,0.8975044,9
SW,7500,1550,15.7024912,14
FC,7500,1650,100.8574903,3692
SPcc_SPc,7500,1650,1.103414,12
SP,7500,1650,0.8171685,7
SW,7500,1650,16.6774439,11
FC,7500,1750,104.2971555,3688
SPcc_SPc,7500,1750,1.0525675,12
SP,7500,1750,1.0478419,9
SW,7500,1750,16.7667046,12
FC,7500,1850,104.4071171,3688
SPcc_SPc,7500,1850,1.1022611,15
SP,7500,1850,1.0383668,9
SW,7500,1850,17.6029703,14
FC,7500,1950,102.8654761,3692
SPcc_SPc,7500,1950,0.8901127,10
SP,7500,1950,0.7943741,7
SW,7500,1950,17.2024973,10
FC,7500,2050,104.2437665,3684
SPcc_SPc,7500,2050,1.0594287,13
SP,7500,2050,1.0145664,9
SW,7500,2050,19.7626107,19
FC,7500,2150,106.251064,3680
SPcc_SPc,7500,2150,1.1104786,14
SP,7500,2150,1.0644496,9
SW,7500,2150,18.2549845,15
FC,7500,2250,112.6899033,3692
SPcc_SPc,7500,2250,1.1386333,12
SP,7500,2250,0.9476262,7
SW,7500,2250,18.0817369,12
FC,7500,2350,102.1195177,3686
SPcc_SPc,7500,2350,1.515882,12
SP,7500,2350,1.7038848,9
SW,7500,2350,22.2901088,12
FC,7500,2450,102.7522849,3688
SPcc_SPc,7500,2450,0.9866832,12
SP,7500,2450,0.9268241,9
SW,7500,2450,15.5908169,12
FC,7500,2550,96.9565132,3684
SPcc_SPc,7500,2550,0.9300957,12
SP,7500,2550,0.9250357,9
SW,7500,2550,15.5490678,15
FC,7500,2650,95.9683532,3692
SPcc_SPc,7500,2650,1.052233,15
SP,7500,2650,0.7515234,7
SW,7500,2650,15.6513117,13
FC,7500,2750,96.251123,3686
SPcc_SPc,7500,2750,0.8698419,12
SP,7500,2750,0.9113465,9
SW,7500,2750,15.6222057,13
FC,7500,2850,97.2226556,3704
SPcc_SPc,7500,2850,0.868678,11
SP,7500,2850,0.868818,9
SW,7500,2850,15.5484113,11
FC,7500,2950,96.5600121,3696
SPcc_SPc,7500,2950,0.9375202,12
SP,7500,2950,0.8940762,9
SW,7500,2950,15.455583,14
FC,7500,3050,96.2419549,3680
SPcc_SPc,7500,3050,1.0182768,13
SP,7500,3050,0.7212303,7
SW,7500,3050,15.7379793,13
FC,7500,3150,96.2295064,3684
SPcc_SPc,7500,3150,1.0410183,14
SP,7500,3150,0.8479763,9
SW,7500,3150,15.5270644,12
FC,7500,3250,96.6054018,3710
SPcc_SPc,7500,3250,1.0329026,13
SP,7500,3250,0.7338874,7
SW,7500,3250,15.7078125,12
FC,7500,3350,97.1455909,3686
SPcc_SPc,7500,3350,0.994848,14
SP,7500,3350,0.7487762,7
SW,7500,3350,15.6963202,13
FC,7500,3450,96.4045526,3704
SPcc_SPc,7500,3450,0.8994779,13
SP,7500,3450,0.8702873,9
SW,7500,3450,15.8480975,10
FC,7500,3550,96.6233896,3702
SPcc_SPc,7500,3550,1.0046239,12
SP,7500,3550,0.9210431,9
SW,7500,3550,15.5633291,16
FC,7500,3650,96.9400644,3706
SPcc_SPc,7500,3650,1.0205901,14
SP,7500,3650,0.8689046,9
SW,7500,3650,15.5834053,15
FC,7500,3750,96.7217484,3690
SPcc_SPc,7500,3750,1.0518467,15
SP,7500,3750,0.8748166,9
SW,7500,3750,15.6526083,14
FC,7500,3850,96.9866614,3694
SPcc_SPc,7500,3850,0.8998909,12
SP,7500,3850,0.8785079,9
SW,7500,3850,15.6173848,13
FC,7500,3950,97.0567571,3694
SPcc_SPc,7500,3950,0.8954017,12
SP,7500,3950,0.8894224,9
SW,7500,3950,15.6482807,13
FC,7500,4050,96.558748,3694
SPcc_SPc,7500,4050,1.0611644,14
SP,7500,4050,0.9044932,9
SW,7500,4050,15.4835973,13
FC,7500,4150,96.7855302,3692
SPcc_SPc,7500,4150,0.853705,11
SP,7500,4150,0.9284729,9
SW,7500,4150,15.7404326,13
FC,7500,4250,96.3896021,3690
SPcc_SPc,7500,4250,0.9860489,12
SP,7500,4250,0.8491521,9
SW,7500,4250,15.5195253,13
FC,7500,4350,96.33618,3694
SPcc_SPc,7500,4350,1.0913838,15
SP,7500,4350,0.8510228,9
SW,7500,4350,15.7586063,10
FC,7500,4450,96.7877273,3692
SPcc_SPc,7500,4450,0.998349,12
SP,7500,4450,0.9233158,9
SW,7500,4450,15.5913432,12
FC,7500,4550,95.9614525,3688
SPcc_SPc,7500,4550,1.0223363,14
SP,7500,4550,0.7539193,7
SW,7500,4550,15.6809279,12
FC,7500,4650,96.7965349,3694
SPcc_SPc,7500,4650,0.865455,11
SP,7500,4650,0.8683687,9
SW,7500,4650,15.5808506,11
FC,7500,4750,95.6937558,3686
SPcc_SPc,7500,4750,0.9629223,13
SP,7500,4750,0.880504,9
SW,7500,4750,15.4828887,12
FC,7500,4850,95.6425293,3684
SPcc_SPc,7500,4850,0.8217068,11
SP,7500,4850,0.9034185,9
SW,7500,4850,15.6737339,14
FC,7500,4950,96.8709241,3692
SPcc_SPc,7500,4950,1.0721956,15
SP,7500,4950,0.8527625,9
SW,7500,4950,15.4414276,11
FC,8000,50,90.6612889,2853
SPcc_SPc,8000,50,1.1541402,10
SP,8000,50,1.1853844,9
SW,8000,50,34.0105265,8
FC,8000,150,103.8020247,2857
SPcc_SPc,8000,150,1.3884624,11
SP,8000,150,1.3334952,9
SW,8000,150,35.8197443,13
FC,8000,250,90.7280355,2857
SPcc_SPc,8000,250,1.4728719,11
SP,8000,250,1.5487413,9
SW,8000,250,38.5295119,12
FC,8000,350,92.8937023,2857
SPcc_SPc,8000,350,1.2755679,11
SP,8000,350,1.2276144,9
SW,8000,350,34.9292393,15
FC,8000,450,93.0914847,2857
SPcc_SPc,8000,450,1.2777245,11
SP,8000,450,1.2112108,9
SW,8000,450,36.2027269,12
FC,8000,550,92.7683124,2859
SPcc_SPc,8000,550,1.3358326,12
SP,8000,550,1.1488322,9
SW,8000,550,37.5332605,11
FC,8000,650,94.0947875,2865
SPcc_SPc,8000,650,1.5451111,11
SP,8000,650,1.5908679,9
SW,8000,650,36.5376268,11
FC,8000,750,92.4573461,2867
SPcc_SPc,8000,750,1.2321946,11
SP,8000,750,1.1397205,9
SW,8000,750,36.3280586,12
FC,8000,850,101.82732,2865
SPcc_SPc,8000,850,1.7297636,14
SP,8000,850,1.3878526,9
SW,8000,850,36.8403078,18
FC,8000,950,93.4039604,2865
SPcc_SPc,8000,950,1.260326,11
SP,8000,950,1.1378845,9
SW,8000,950,33.8982525,14
FC,8000,1050,98.4231853,2861
SPcc_SPc,8000,1050,1.3768315,13
SP,8000,1050,1.3172522,9
SW,8000,1050,35.114456,16
FC,8000,1150,94.4793686,2861
SPcc_SPc,8000,1150,1.6905171,12
SP,8000,1150,1.4678019,9
SW,8000,1150,37.268748,11
FC,8000,1250,93.9454197,2871
SPcc_SPc,8000,1250,1.3405636,11
SP,8000,1250,1.217557,9
SW,8000,1250,34.6855703,13
FC,8000,1350,94.9057504,2875
SPcc_SPc,8000,1350,1.5340007,12
SP,8000,1350,1.3966119,9
SW,8000,1350,34.2968725,13
FC,8000,1450,99.2994784,2877
SPcc_SPc,8000,1450,1.4045559,12
SP,8000,1450,1.2930712,9
SW,8000,1450,35.8453507,13
FC,8000,1550,92.9865097,2861
SPcc_SPc,8000,1550,1.3255808,12
SP,8000,1550,1.1611546,9
SW,8000,1550,34.953418,12
FC,8000,1650,93.1830464,2865
SPcc_SPc,8000,1650,1.389918,13
SP,8000,1650,1.2188402,9
SW,8000,1650,35.7351173,14
FC,8000,1750,93.9838275,2873
SPcc_SPc,8000,1750,1.3347187,12
SP,8000,1750,1.3659742,9
SW,8000,1750,37.0319782,13
FC,8000,1850,92.598081,2871
SPcc_SPc,8000,1850,1.3122988,12
SP,8000,1850,1.0936277,9
SW,8000,1850,36.6570331,13
FC,8000,1950,97.6334137,2867
SPcc_SPc,8000,1950,1.6424054,13
SP,8000,1950,1.3209959,9
SW,8000,1950,36.8215886,12
FC,8000,2050,94.0197861,2871
SPcc_SPc,8000,2050,1.317967,13
SP,8000,2050,1.112119,9
SW,8000,2050,33.7441869,12
FC,8000,2150,97.8343707,2879
SPcc_SPc,8000,2150,1.5118615,17
SP,8000,2150,1.2425999,9
SW,8000,2150,35.0344684,13
FC,8000,2250,96.1068972,2875
SPcc_SPc,8000,2250,1.4904189,16
SP,8000,2250,1.3025264,9
SW,8000,2250,35.2079825,15
FC,8000,2350,94.5605803,2875
SPcc_SPc,8000,2350,1.2372223,12
SP,8000,2350,1.1131276,9
SW,8000,2350,34.6726403,14
FC,8000,2450,96.2586486,2875
SPcc_SPc,8000,2450,1.3834374,12
SP,8000,2450,1.2129887,9
SW,8000,2450,35.7086583,15
FC,8000,2550,92.4948207,2873
SPcc_SPc,8000,2550,1.4182692,14
SP,8000,2550,1.2118903,9
SW,8000,2550,35.2187048,15
FC,8000,2650,101.671621,2883
SPcc_SPc,8000,2650,1.3424951,12
SP,8000,2650,1.3027688,9
SW,8000,2650,36.2555699,12
FC,8000,2750,94.0837143,2873
SPcc_SPc,8000,2750,1.3673311,13
SP,8000,2750,1.1271465,9
SW,8000,2750,33.6448829,16
FC,8000,2850,95.0320255,2871
SPcc_SPc,8000,2850,1.5701392,12
SP,8000,2850,1.5407043,9
SW,8000,2850,36.4543196,15
FC,8000,2950,99.8434352,2883
SPcc_SPc,8000,2950,1.3994386,12
SP,8000,2950,1.2910486,9
SW,8000,2950,36.0065501,12
FC,8000,3050,91.946571,2867
SPcc_SPc,8000,3050,1.2582956,12
SP,8000,3050,1.124692,9
SW,8000,3050,33.9862042,14
FC,8000,3150,97.545727,2875
SPcc_SPc,8000,3150,1.2416813,13
SP,8000,3150,1.1885467,9
SW,8000,3150,34.4719957,15
FC,8000,3250,95.9180743,2879
SPcc_SPc,8000,3250,1.268581,13
SP,8000,3250,1.0301915,9
SW,8000,3250,34.2917876,14
FC,8000,3350,95.3966624,2869
SPcc_SPc,8000,3350,1.2841223,12
SP,8000,3350,1.1433425,9
SW,8000,3350,34.2586486,13
FC,8000,3450,95.2070837,2871
SPcc_SPc,8000,3450,1.428701,16
SP,8000,3450,1.1256786,9
SW,8000,3450,34.7785538,13
FC,8000,3550,95.499925,2881
SPcc_SPc,8000,3550,1.7734869,18
SP,8000,3550,1.3628941,9
SW,8000,3550,37.6703804,12
FC,8000,3650,93.4670437,2881
SPcc_SPc,8000,3650,1.49897,12
SP,8000,3650,1.3252667,9
SW,8000,3650,35.6662054,24
FC,8000,3750,99.5286774,2877
SPcc_SPc,8000,3750,1.5418991,13
SP,8000,3750,1.339036,9
SW,8000,3750,36.7602529,14
FC,8000,3850,94.9491537,2887
SPcc_SPc,8000,3850,1.3327625,14
SP,8000,3850,1.0493461,9
SW,8000,3850,33.3794545,13
FC,8000,3950,94.4159098,2879
SPcc_SPc,8000,3950,1.2432506,12
SP,8000,3950,1.1014824,9
SW,8000,3950,39.076228,15
FC,8000,4050,100.157904,2883
SPcc_SPc,8000,4050,1.2665843,12
SP,8000,4050,1.1267861,9
SW,8000,4050,34.2393433,13
FC,8000,4150,91.5967981,2869
SPcc_SPc,8000,4150,1.2455401,13
SP,8000,4150,1.1021717,9
SW,8000,4150,38.4968877,11
FC,8000,4250,98.0124918,2887
SPcc_SPc,8000,4250,1.5737437,17
SP,8000,4250,1.1176849,9
SW,8000,4250,36.4631372,10
FC,8000,4350,93.4261248,2873
SPcc_SPc,8000,4350,1.4719426,17
SP,8000,4350,1.0751248,9
SW,8000,4350,33.8006284,18
FC,8000,4450,98.7773171,2879
SPcc_SPc,8000,4450,1.4479833,16
SP,8000,4450,1.1318177,9
SW,8000,4450,34.6098945,12
FC,8000,4550,94.8632357,2881
SPcc_SPc,8000,4550,1.3628048,14
SP,8000,4550,1.0609781,9
SW,8000,4550,34.6163597,14
FC,8000,4650,98.9349854,2879
SPcc_SPc,8000,4650,1.3921983,14
SP,8000,4650,1.2069834,9
SW,8000,4650,35.5071851,11
FC,8000,4750,92.3437359,2879
SPcc_SPc,8000,4750,1.2352684,12
SP,8000,4750,1.1255045,9
SW,8000,4750,33.7723743,12
FC,8000,4850,94.1431053,2875
SPcc_SPc,8000,4850,1.707805,14
SP,8000,4850,1.2539845,9
SW,8000,4850,36.3984605,16
FC,8000,4950,95.2310849,2883
SPcc_SPc,8000,4950,1.3226305,12
SP,8000,4950,1.0396552,9
SW,8000,4950,36.7032245,16
FC,8500,50,84.1193948,2516
SPcc_SPc,8500,50,1.3325889,10
SP,8500,50,1.3378097,9
SW,8500,50,49.1011425,10
FC,8500,150,85.7862005,2520
SPcc_SPc,8500,150,1.8662804,11
SP,8500,150,1.5912303,9
SW,8500,150,48.9181962,10
FC,8500,250,88.7028026,2520
SPcc_SPc,8500,250,1.5992413,11
SP,8500,250,1.5496792,9
SW,8500,250,50.8121899,16
FC,8500,350,83.2416601,2528
SPcc_SPc,8500,350,1.4083861,12
SP,8500,350,1.2570423,9
SW,8500,350,50.6205571,12
FC,8500,450,88.1239732,2520
SPcc_SPc,8500,450,1.695747,11
SP,8500,450,1.5616691,9
SW,8500,450,51.3973691,13
FC,8500,550,83.4164027,2522
SPcc_SPc,8500,550,1.3713029,11
SP,8500,550,1.3103601,9
SW,8500,550,52.6084487,11
FC,8500,650,85.5367267,2524
SPcc_SPc,8500,650,1.4788953,11
SP,8500,650,1.3248716,9
SW,8500,650,48.3141123,11
FC,8500,750,86.0158396,2522
SPcc_SPc,8500,750,1.3849388,11
SP,8500,750,1.3195499,9
SW,8500,750,48.7894264,13
FC,8500,850,84.5293636,2520
SPcc_SPc,8500,850,1.4921117,12
SP,8500,850,1.2390156,9
SW,8500,850,50.662957,16
FC,8500,950,83.798046,2526
SPcc_SPc,8500,950,2.0306502,11
SP,8500,950,1.9884132,9
SW,8500,950,52.7489607,11
FC,8500,1050,83.3664081,2524
SPcc_SPc,8500,1050,1.4839002,12
SP,8500,1050,1.2312371,9
SW,8500,1050,49.8564156,13
FC,8500,1150,86.4335364,2538
SPcc_SPc,8500,1150,1.513333,11
SP,8500,1150,1.3710694,9
SW,8500,1150,50.8475857,15
FC,8500,1250,86.26483,2536
SPcc_SPc,8500,1250,1.6666125,13
SP,8500,1250,1.4600268,9
SW,8500,1250,50.0833955,14
FC,8500,1350,84.7575018,2532
SPcc_SPc,8500,1350,1.5109201,14
SP,8500,1350,1.2241876,9
SW,8500,1350,50.541634,22
FC,8500,1450,84.4479836,2536
SPcc_SPc,8500,1450,1.5216276,12
SP,8500,1450,1.3743695,9
SW,8500,1450,52.5191686,13
FC,8500,1550,84.6159916,2538
SPcc_SPc,8500,1550,1.5273979,14
SP,8500,1550,1.2149429,9
SW,8500,1550,51.4578719,14
FC,8500,1650,86.3190324,2534
SPcc_SPc,8500,1650,1.4102058,12
SP,8500,1650,1.2627017,9
SW,8500,1650,49.2020667,13
FC,8500,1750,87.4372023,2542
SPcc_SPc,8500,1750,1.4783902,14
SP,8500,1750,1.1962389,9
SW,8500,1750,48.9089696,16
FC,8500,1850,89.381622,2540
SPcc_SPc,8500,1850,1.7944669,15
SP,8500,1850,1.3456821,9
SW,8500,1850,49.06854,11
FC,8500,1950,90.6291804,2534
SPcc_SPc,8500,1950,1.6430818,13
SP,8500,1950,1.3620833,9
SW,8500,1950,51.2296572,11
FC,8500,2050,84.3727078,2548
SPcc_SPc,8500,2050,1.3774764,12
SP,8500,2050,1.1955664,9
SW,8500,2050,49.5475662,14
FC,8500,2150,86.4924148,2538
SPcc_SPc,8500,2150,1.5633969,14
SP,8500,2150,1.2836391,9
SW,8500,2150,48.986625,11
FC,8500,2250,88.7787761,2532
SPcc_SPc,8500,2250,1.7377167,13
SP,8500,2250,1.4405185,9
SW,8500,2250,53.5029348,14
FC,8500,2350,84.3054379,2534
SPcc_SPc,8500,2350,1.3148907,12
SP,8500,2350,1.1942206,9
SW,8500,2350,47.7231875,14
FC,8500,2450,85.3712981,2534
SPcc_SPc,8500,2450,1.4384818,11
SP,8500,2450,1.3456367,9
SW,8500,2450,50.0809514,15
FC,8500,2550,85.0019406,2532
SPcc_SPc,8500,2550,1.4170298,12
SP,8500,2550,1.2333467,9
SW,8500,2550,52.3086738,14
FC,8500,2650,84.789467,2536
SPcc_SPc,8500,2650,1.3916781,12
SP,8500,2650,1.2820124,9
