Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Acinetobacter_baumannii_NIPH_528,411,84
Acinetobacter_baumannii_NIPH_601,393,83
Acinetobacter_baumannii_NIPH_60,396,82
Acinetobacter_baumannii_NIPH_615,422,90
Acinetobacter_baumannii_NIPH_67,406,87
Acinetobacter_baumannii_NIPH_70,417,87
Acinetobacter_baumannii_NIPH_80,398,90
Acinetobacter_baumannii_Naval_113,416,82
Acinetobacter_baumannii_Naval_13,423,84
Acinetobacter_baumannii_Naval_17,410,84
Acinetobacter_baumannii_Naval_18,414,83
Acinetobacter_baumannii_Naval_21,408,85
Acinetobacter_baumannii_Naval_2,419,85
Acinetobacter_baumannii_Naval_57,398,86
Acinetobacter_baumannii_Naval_72,412,83
Acinetobacter_baumannii_Naval_78,408,81
Acinetobacter_baumannii_Naval_81,426,86
Acinetobacter_baumannii_Naval_82,395,77
Acinetobacter_baumannii_Naval_83,397,83
Acinetobacter_baumannii_OIFC0162,409,83
Acinetobacter_baumannii_OIFC032,393,84
Acinetobacter_baumannii_OIFC035,412,85
Acinetobacter_baumannii_OIFC047,418,81
Acinetobacter_baumannii_OIFC065,418,87
Acinetobacter_baumannii_OIFC074,408,82
Acinetobacter_baumannii_OIFC087,362,74
Acinetobacter_baumannii_OIFC098,410,81
Acinetobacter_baumannii_OIFC099,401,84
Acinetobacter_baumannii_OIFC109,415,82
Acinetobacter_baumannii_OIFC110,404,89
Acinetobacter_baumannii_OIFC111,407,89
Acinetobacter_baumannii_OIFC137,417,87
Acinetobacter_baumannii_OIFC143,411,89
Acinetobacter_baumannii_OIFC180,403,84
Acinetobacter_baumannii_OIFC189,398,89
Acinetobacter_baumannii_OIFC338,402,90
Acinetobacter_baumannii_SDF,377,76
Acinetobacter_baumannii_TCDC_AB0715,400,88
Acinetobacter_baumannii_TYTH_1,390,83
Acinetobacter_baumannii_UMB001,402,79
Acinetobacter_baumannii_UMB003,404,86
Acinetobacter_baumannii_W7282,418,84
Acinetobacter_baumannii_WC_348,406,80
Acinetobacter_baumannii_WC_692,407,86
Acinetobacter_baumannii_WC_A_694,408,88
Acinetobacter_baumannii_WC_A_92,408,87
Acinetobacter_baumannii_WM99c,385,83
Acinetobacter_baumannii_ZWS1122,414,83
Acinetobacter_baumannii_ZWS1219,384,79
Acinetobacter_calcoaceticus_ANC_3680,460,86
Acinetobacter_calcoaceticus_ANC_3811,442,90
Acinetobacter_calcoaceticus_DSM_30006_CIP_81_8,318,80
Acinetobacter_calcoaceticus_NIPH_13,423,89
