Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Corynebacterium_casei_LMG_S_19264,491,101
Corynebacterium_casei_UCMA_3821,450,105
Corynebacterium_coyleae_UMB0147_16933_8_1_1,473,84
Corynebacterium_durum_F0235,395,103
Corynebacterium_efficiens_YS_314,392,90
Corynebacterium_glucuronolyticum_ATCC_51866,528,107
Corynebacterium_glucuronolyticum_ATCC_51867,454,93
Corynebacterium_ihumii_GD7,442,101
Corynebacterium_jeddahense_JCB,469,98
Corynebacterium_jeikeium_Cj30184_10,417,85
Corynebacterium_kroppenstedtii_DNF00591,353,80
Corynebacterium_kroppenstedtii_DSM_44385,421,77
Corynebacterium_mastitidis_DSM_44356,457,92
Corynebacterium_matruchotii_ATCC_14266,382,82
Corynebacterium_matruchotii_ATCC_33806,388,83
Corynebacterium_matruchotii_NCTC10254,368,78
Corynebacterium_phoceense_DSM_100570,508,126
Corynebacterium_propinquum_DSM_44285,416,88
Corynebacterium_pseudodiphtheriticum_DSM_44287,443,69
Corynebacterium_pseudogenitalium_ATCC_33035,359,98
Corynebacterium_sp_HFH0082,370,93
Corynebacterium_striatum_ATCC_6940,392,84
Corynebacterium_tuberculostearicum_SK141,379,97
Corynebacterium_tuscaniense_DNF00037,377,82
Corynebacterium_ulcerans_809,449,100
Corynebacterium_ulcerans_BR_AD22,483,118
Corynebacterium_ureicelerivorans_DSM_45051,440,99
Corynebacterium_variabile_DSM_44702,459,97
Corynebacterium_variabile_Mu292,467,95
Cronobacter_sakazakii_2151,443,89
Cronobacter_sakazakii_680,451,80
Cronobacter_sakazakii_696,487,119
Cronobacter_sakazakii_701,463,113
Cronobacter_sakazakii_ATCC_BAA_894,437,84
Cronobacter_sakazakii_E764,463,106
Cronobacter_sakazakii_ES15,424,87
Cronobacter_sakazakii_ES35,482,79
Cronobacter_sakazakii_ES713,478,89
Cronobacter_sakazakii_SP291,444,87
Cryocola_sp_340MFSha3_1,378,77
Cryptobacterium_curtum_DSM_15641,407,82
Culturomica_massiliensis_DSM_103121,483,80
Cuneatibacter_caecimuris_DSM_29486,402,108
Cupriavidus_metallidurans_CH34,435,123
Curtobacterium_flaccumfaciens_MEB126,360,67
Curtobacterium_flaccumfaciens_UCD_AKU,446,76
Curvibacter_gracilis_ATCC_BAA_807,372,118
Cutibacterium_acnes_266,459,102
Cutibacterium_acnes_6609,455,94
Cutibacterium_acnes_ATCC_11828,446,93
Cutibacterium_acnes_C1,498,99
Cutibacterium_acnes_FZ1_2_0,445,98
Cutibacterium_acnes_HL001PA1,437,98
Cutibacterium_acnes_HL002PA1,442,98
Cutibacterium_acnes_HL002PA2,448,105
Cutibacterium_acnes_HL002PA3,484,100
Cutibacterium_acnes_HL005PA1,435,97
Cutibacterium_acnes_HL005PA2,477,107
Cutibacterium_acnes_HL005PA4,417,100
Cutibacterium_acnes_HL007PA1,481,101
Cutibacterium_acnes_HL013PA1,439,95
Cutibacterium_acnes_HL013PA2,461,103
Cutibacterium_acnes_HL020PA1,442,100
Cutibacterium_acnes_HL025PA1,424,97
Cutibacterium_acnes_HL027PA1,423,100
Cutibacterium_acnes_HL027PA2,452,103
Cutibacterium_acnes_HL030PA1,439,105
Cutibacterium_acnes_HL036PA1,446,99
Cutibacterium_acnes_HL036PA2,483,103
Cutibacterium_acnes_HL037PA1,445,100
Cutibacterium_acnes_HL037PA2,338,93
Cutibacterium_acnes_HL038PA1,435,101
Cutibacterium_acnes_HL043PA1,471,101
Cutibacterium_acnes_HL043PA2,474,99
Cutibacterium_acnes_HL044PA1,340,94
Cutibacterium_acnes_HL045PA1,472,97
Cutibacterium_acnes_HL046PA1,453,101
Cutibacterium_acnes_HL046PA2,442,98
Cutibacterium_acnes_HL050PA1,442,103
Cutibacterium_acnes_HL050PA2,418,97
Cutibacterium_acnes_HL050PA3,481,100
Cutibacterium_acnes_HL053PA1,471,97
Cutibacterium_acnes_HL053PA2,477,105
Cutibacterium_acnes_HL056PA1,434,96
Cutibacterium_acnes_HL059PA1,458,104
Cutibacterium_acnes_HL059PA2,481,106
Cutibacterium_acnes_HL060PA1,450,95
Cutibacterium_acnes_HL063PA1,449,106
Cutibacterium_acnes_HL063PA2,449,102
Cutibacterium_acnes_HL067PA1,439,96
Cutibacterium_acnes_HL072PA1,497,104
Cutibacterium_acnes_HL072PA2,452,103
Cutibacterium_acnes_HL074PA1,447,103
Cutibacterium_acnes_HL078PA1,453,108
Cutibacterium_acnes_HL082PA1,480,110
Cutibacterium_acnes_HL082PA2,414,99
Cutibacterium_acnes_HL083PA1,470,100
Cutibacterium_acnes_HL083PA2,435,107
Cutibacterium_acnes_HL086PA1,469,109
Cutibacterium_acnes_HL087PA2,483,109
Cutibacterium_acnes_HL087PA3,448,100
Cutibacterium_acnes_HL092PA1,481,104
Cutibacterium_acnes_HL096PA1,475,101
Cutibacterium_acnes_HL096PA2,470,100
Cutibacterium_acnes_HL096PA3,465,103
Cutibacterium_acnes_HL097PA1,436,104
Cutibacterium_acnes_HL099PA1,474,105
Cutibacterium_acnes_HL103PA1,443,96
Cutibacterium_acnes_HL110PA1,438,106
Cutibacterium_acnes_HL110PA2,449,106
Cutibacterium_acnes_HL110PA3,427,92
Cutibacterium_acnes_HL110PA4,418,91
Cutibacterium_acnes_J139,417,87
Cutibacterium_acnes_J165,442,97
Cutibacterium_acnes_PA_12_1_L1,368,88
Cutibacterium_acnes_PA_12_1_R1,370,89
Cutibacterium_acnes_PA_15_2_L1,382,90
Cutibacterium_acnes_PA_21_1_L1,373,91
Cutibacterium_acnes_PA_30_2_L1,334,87
Cutibacterium_acnes_PRP_38,455,103
Cutibacterium_acnes_SK137,444,93
Cutibacterium_acnes_SK182,488,95
Cutibacterium_acnes_SK187,477,96
Cutibacterium_acnes_TypeIA2_P_acn17,479,106
Cutibacterium_acnes_TypeIA2_P_acn31,477,102
Cutibacterium_acnes_TypeIA2_P_acn33,481,104
Cutibacterium_granulosum_TM11,361,78
Dakarella_massiliensis_ND3,338,62
Dechlorosoma_suillum_PS,304,79
Dehalobacterium_formicoaceticum_DMC,392,93
Delftia_acidovorans_CCUG_15835,477,103
Delftia_acidovorans_CCUG_274B,480,103
Delftia_acidovorans_SPH_1,471,41
Dermabacter_sp_HFH0086,431,78
Dermacoccus_nishinomiyaensis_DSM_20448,458,100
Dermacoccus_sp_Ellin185,304,95
Desmospora_sp_8437,427,106
Desulfitobacterium_hafniense_DCB_2,478,134
Desulfitobacterium_hafniense_DP7,507,133
Desulfitobacterium_hafniense_PCP_1,483,132
Desulfitobacterium_hafniense_Y51,499,124
Desulfomicrobium_orale_DSM_12838,321,73
Desulfovibrio_desulfuricans_subsp_aestuarii_DSM_17919_ATCC_29578,290,54
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,440,84
Desulfovibrio_desulfuricans_subsp_desulfuricans_str_G20,364,75
Desulfovibrio_legallii_KHC7,402,73
Desulfovibrio_piger_ATCC_29098,346,55
Desulfovibrio_sp_3_1_syn3,377,68
Desulfovibrio_sp_6_1_46AFAA,434,83
Dialister_invisus_DSM_15470,402,71
Dialister_micraerophilus_DSM_19965,393,52
Dialister_microaerophilus_UPII_345_E,317,56
Dialister_pneumosintes_F0677,318,47
Dialister_succinatiphilus_YIT_11850,391,61
Dielma_fastidiosa_JC13,409,95
Dietzia_cinnamea_NBRC_102147,307,90
Dietzia_cinnamea_P4,374,101
Dolosigranulum_pigrum_ATCC_51524,337,62
Dolosigranulum_pigrum_KPL1931_CDC4294_98,351,66
Dorea_formicigenerans_4_6_53AFAA,424,79
Dorea_formicigenerans_ATCC_27755,476,98
Dorea_longicatena_DSM_13814,450,88
Dorea_sp_D27,482,146
Dyadobacter_beijingensis_DSM_21582,522,111
Dyadobacter_fermentans_DSM_18053,560,131
Dysgonomonas_gadei_ATCC_BAA_286,460,98
Dysgonomonas_mossii_DSM_22836,392,88
Edwardsiella_tarda_080813,394,113
Edwardsiella_tarda_ATCC_23685,403,68
Edwardsiella_tarda_C07_087,485,112
Edwardsiella_tarda_DT,473,89
Edwardsiella_tarda_EIB202,472,103
Edwardsiella_tarda_FL6_60,392,66
Edwardsiella_tarda_FL95_01,383,100
Edwardsiella_tarda_NBRC_105688,502,93
Eggerthella_lenta_1160AFAA,462,87
Eggerthella_lenta_11C,479,51
Eggerthella_lenta_1356FAA,464,96
Eggerthella_lenta_14A,454,107
Eggerthella_lenta_16A,474,98
Eggerthella_lenta_19C,480,93
Eggerthella_lenta_22C,476,94
Eggerthella_lenta_28B,418,103
Eggerthella_lenta_326I6NA,460,96
Eggerthella_lenta_A2,473,87
Eggerthella_lenta_AB12n2,456,89
Eggerthella_lenta_AB8n2,479,91
Eggerthella_lenta_AN51LG,462,82
Eggerthella_lenta_C592,471,99
Eggerthella_lenta_CC75D52,475,98
Eggerthella_lenta_CC82BHI2,468,100
Eggerthella_lenta_CC86D54,474,90
Eggerthella_lenta_DSM_11767,473,86
Eggerthella_lenta_DSM_11863,445,102
Eggerthella_lenta_DSM_15644,472,97
Eggerthella_lenta_DSM_2243,400,67
Eggerthella_lenta_HGA1,490,95
Eggerthella_lenta_MR1n12,475,105
Eggerthella_lenta_RC46F,469,92
Eggerthella_lenta_Valencia,471,101
Eggerthella_lenta_W1BHI6,473,88
Eggerthella_sinensis_DSM_16107,438,101
Eggerthella_sp_1_3_56FAA,449,83
Eggerthella_sp_YY7918,424,82
Eggerthia_catenaformis_OT_569,430,73
Eikenella_corrodens_ATCC_23834,428,62
Eisenbergiella_tayi_NML110678,404,121
Elusimicrobium_minutum_Pei191,324,48
Emergencia_timonensis_DSM_101844,437,133
Enhydrobacter_aerosaccus_ATCC_27094,383,119
Enorma_massiliensis_phI,423,111
Enorma_timonensis_GD5,353,70
Enterobacter_aerogenes_EA1509E,400,91
Enterobacter_aerogenes_FGI35,457,86
Enterobacter_aerogenes_KCTC_2190,427,85
Enterobacter_asburiae_L1,341,99
Enterobacter_asburiae_LF7a,427,90
Enterobacter_cancerogenus_ATCC_35316,329,48
Enterobacter_cloacae_EcWSU1,426,91
Enterobacter_cloacae_GGT036,395,96
Enterobacter_cloacae_subsp_cloacae_08XA1,454,83
Enterobacter_cloacae_subsp_cloacae_ATCC_13047,447,90
Enterobacter_cloacae_subsp_cloacae_ENHKU01,449,80
Enterobacter_cloacae_subsp_cloacae_GS1,366,81
Enterobacter_cloacae_subsp_dissolvens_SDM,472,88
Enterobacter_hormaechei_ATCC_49162,451,85
Enterobacter_hormaechei_FDAARGOS_68,342,84
Enterobacter_hormaechei_YT2,410,77
Enterobacter_hormaechei_YT3,411,82
Enterobacter_lignolyticus_G5,374,94
Enterobacter_lignolyticus_SCF1,386,102
Enterobacter_ludwigii_UW5,356,94
Enterobacter_mori_800721_17,432,105
Enterobacter_mori_LMG_25706,363,98
Enterobacter_roggenkampii_35734,322,90
Enterobacter_sp_MGH_8,413,100
Enterobacter_timonensis_DSM_101775,497,143
Enterobacteriaceae_bacterium_9_2_54FAA,370,58
Enterococcus_asini_ATCC_700915,425,99
Enterococcus_avium_ATCC_14025,463,100
Enterococcus_caccae_ATCC_BAA_1240,399,89
Enterococcus_casseliflavus_ATCC_12755,442,99
Enterococcus_casseliflavus_EC10,465,90
Enterococcus_casseliflavus_EC20,537,101
Enterococcus_casseliflavus_EC30,385,98
Enterococcus_cecorum_DSM_20682,420,101
Enterococcus_dispar_ATCC_51266,428,91
Enterococcus_durans_ATCC_6056,427,66
Enterococcus_durans_FB129_CNAB_4,378,64
Enterococcus_durans_IPLA_655,433,63
Enterococcus_faecalis_12030,391,81
Enterococcus_faecalis_12107,393,81
Enterococcus_faecalis_1448E03,414,84
Enterococcus_faecalis_182970,393,89
Enterococcus_faecalis_19116,406,82
Enterococcus_faecalis_2630V05,390,87
Enterococcus_faecalis_2924,392,90
Enterococcus_faecalis_5952,375,87
Enterococcus_faecalis_599951,404,86
Enterococcus_faecalis_599,482,70
Enterococcus_faecalis_62,375,78
Enterococcus_faecalis_7330082_2,390,81
Enterococcus_faecalis_7330112_3,411,82
Enterococcus_faecalis_7330245_2,390,82
Enterococcus_faecalis_7330257_1,396,81
Enterococcus_faecalis_7330259_5,403,80
Enterococcus_faecalis_7330948_5,400,80
Enterococcus_faecalis_7430275_3,397,1
Enterococcus_faecalis_7430315_3,369,79
Enterococcus_faecalis_7430416_3,396,83
Enterococcus_faecalis_7430821_4,420,81
Enterococcus_faecalis_79_3,403,86
Enterococcus_faecalis_AR01_DG,401,84
Enterococcus_faecalis_ATCC_10100,504,72
Enterococcus_faecalis_ATCC_19433,480,77
Enterococcus_faecalis_ATCC_27275,502,73
Enterococcus_faecalis_ATCC_27959,465,72
Enterococcus_faecalis_ATCC_29200,443,77
Enterococcus_faecalis_ATCC_29212,443,77
Enterococcus_faecalis_ATCC_35038,487,72
Enterococcus_faecalis_ATCC_4200,483,81
Enterococcus_faecalis_ATCC_6055,479,76
Enterococcus_faecalis_A_2_1,384,86
Enterococcus_faecalis_A_3_1,374,81
Enterococcus_faecalis_B1005,388,87
Enterococcus_faecalis_B1138,386,68
Enterococcus_faecalis_B1249,389,86
Enterococcus_faecalis_B1290,394,87
Enterococcus_faecalis_B1327,409,88
Enterococcus_faecalis_B1376,378,84
Enterococcus_faecalis_B1385,387,88
Enterococcus_faecalis_B1441,378,84
Enterococcus_faecalis_B1505,389,81
Enterococcus_faecalis_B1532,379,84
Enterococcus_faecalis_B15725,390,82
Enterococcus_faecalis_B1586,377,85
Enterococcus_faecalis_B1618,381,88
Enterococcus_faecalis_B1623,405,86
Enterococcus_faecalis_B16457,381,81
Enterococcus_faecalis_B1678,366,87
Enterococcus_faecalis_B1696,379,84
Enterococcus_faecalis_B1719,387,89
Enterococcus_faecalis_B1734,381,84
Enterococcus_faecalis_B1843,388,85
Enterococcus_faecalis_B1851,397,85
Enterococcus_faecalis_B1874,378,84
Enterococcus_faecalis_B1921,376,84
Enterococcus_faecalis_B1933,388,81
Enterococcus_faecalis_B2202,377,83
Enterococcus_faecalis_B2207,373,78
Enterococcus_faecalis_B2211,383,85
Enterococcus_faecalis_B2255,378,80
Enterococcus_faecalis_B2277,385,34
Enterococcus_faecalis_B2391,389,85
Enterococcus_faecalis_B2488,374,86
Enterococcus_faecalis_B2535,385,84
Enterococcus_faecalis_B2557,385,86
Enterococcus_faecalis_B2593,396,86
Enterococcus_faecalis_B2670,381,84
Enterococcus_faecalis_B2685,385,89
Enterococcus_faecalis_B2687,381,81
Enterococcus_faecalis_B2802,381,88
Enterococcus_faecalis_B2864,395,86
Enterococcus_faecalis_B2867,400,91
Enterococcus_faecalis_B2949,378,79
Enterococcus_faecalis_B3031,375,80
Enterococcus_faecalis_B3042,386,86
Enterococcus_faecalis_B3053,385,85
Enterococcus_faecalis_B3119,390,85
Enterococcus_faecalis_B3126,379,88
Enterococcus_faecalis_B3196,393,83
Enterococcus_faecalis_B3286,380,70
Enterococcus_faecalis_B3336,378,82
Enterococcus_faecalis_B4008,385,79
Enterococcus_faecalis_B4018,377,85
Enterococcus_faecalis_B4148,395,91
Enterococcus_faecalis_B4163,386,85
Enterococcus_faecalis_B4259,385,82
Enterococcus_faecalis_B4267,382,84
Enterococcus_faecalis_B4270,389,84
Enterococcus_faecalis_B4411,394,88
Enterococcus_faecalis_B4568,386,84
Enterococcus_faecalis_B4638,397,88
Enterococcus_faecalis_B4672,399,83
Enterococcus_faecalis_B4674,386,80
Enterococcus_faecalis_B4969,400,90
Enterococcus_faecalis_B5035,382,81
Enterococcus_faecalis_B5076,374,81
Enterococcus_faecalis_B56765,375,80
Enterococcus_faecalis_B594,390,85
Enterococcus_faecalis_B653,391,79
Enterococcus_faecalis_B69486,370,83
Enterococcus_faecalis_B84847,381,80
Enterococcus_faecalis_B878,379,84
Enterococcus_faecalis_B939,385,85
Enterococcus_faecalis_B_4_111,381,82
Enterococcus_faecalis_C19315WT,402,85
Enterococcus_faecalis_CH116,394,86
Enterococcus_faecalis_CH136,384,90
Enterococcus_faecalis_CH188,445,80
Enterococcus_faecalis_CH19,403,85
Enterococcus_faecalis_CH570,393,80
Enterococcus_faecalis_Com1,382,82
Enterococcus_faecalis_Com7,366,89
Enterococcus_faecalis_Com_2,387,76
Enterococcus_faecalis_Com_6,390,84
Enterococcus_faecalis_D173,380,80
Enterococcus_faecalis_D1,375,85
Enterococcus_faecalis_D32,479,72
Enterococcus_faecalis_D3,396,84
Enterococcus_faecalis_D6,480,77
Enterococcus_faecalis_DAPTO_512,463,74
Enterococcus_faecalis_DAPTO_516,468,61
Enterococcus_faecalis_DS16,377,84
Enterococcus_faecalis_DS5,499,82
Enterococcus_faecalis_E1Sol,466,72
Enterococcus_faecalis_E1,383,87
Enterococcus_faecalis_E99,419,87
Enterococcus_faecalis_ERV103,479,75
Enterococcus_faecalis_ERV116,484,78
Enterococcus_faecalis_ERV129,474,74
Enterococcus_faecalis_ERV25,505,80
Enterococcus_faecalis_ERV31,484,78
Enterococcus_faecalis_ERV37,471,74
Enterococcus_faecalis_ERV41,481,78
Enterococcus_faecalis_ERV62,476,74
Enterococcus_faecalis_ERV63,483,75
Enterococcus_faecalis_ERV65,466,74
Enterococcus_faecalis_ERV68,465,73
Enterococcus_faecalis_ERV72,478,78
Enterococcus_faecalis_ERV81,484,82
Enterococcus_faecalis_ERV85,475,73
Enterococcus_faecalis_ERV93,491,77
Enterococcus_faecalis_EnGen0253,508,81
Enterococcus_faecalis_F1,390,84
Enterococcus_faecalis_FA2_2,396,83
Enterococcus_faecalis_Fly1,476,78
Enterococcus_faecalis_Fly_2,386,81
Enterococcus_faecalis_HEF39,410,83
Enterococcus_faecalis_HH22,382,86
Enterococcus_faecalis_HIP11704,494,81
Enterococcus_faecalis_JH1,500,77
Enterococcus_faecalis_KB1,352,84
Enterococcus_faecalis_M7,484,81
Enterococcus_faecalis_MMH594,479,73
Enterococcus_faecalis_Merz151,385,80
Enterococcus_faecalis_Merz192,374,81
Enterococcus_faecalis_Merz204,383,83
Enterococcus_faecalis_Merz89,384,81
Enterococcus_faecalis_Merz96,477,75
Enterococcus_faecalis_Ned10,396,88
Enterococcus_faecalis_OG1RF_ATCC_47077,373,76
Enterococcus_faecalis_OG1X,472,73
Enterococcus_faecalis_PC1_1,480,73
Enterococcus_faecalis_Pan7,404,76
Enterococcus_faecalis_R508,466,73
Enterococcus_faecalis_R712,452,71
Enterococcus_faecalis_RC73,395,83
Enterococcus_faecalis_RM3817,389,82
Enterococcus_faecalis_RM4679,388,86
Enterococcus_faecalis_RMC1,383,83
Enterococcus_faecalis_RMC5,399,82
Enterococcus_faecalis_RMC65,393,84
Enterococcus_faecalis_S613,475,74
Enterococcus_faecalis_SF100,386,86
Enterococcus_faecalis_SF105,391,86
Enterococcus_faecalis_SF1592,380,82
Enterococcus_faecalis_SF19,375,84
Enterococcus_faecalis_SF21520,378,85
Enterococcus_faecalis_SF21521,391,91
Enterococcus_faecalis_SF24396,390,78
Enterococcus_faecalis_SF24397,358,77
Enterococcus_faecalis_SF24413,371,79
Enterococcus_faecalis_SF26630,372,86
Enterococcus_faecalis_SF28073,358,78
Enterococcus_faecalis_SF339,391,83
Enterococcus_faecalis_SF350,384,83
Enterococcus_faecalis_SF370,379,82
Enterococcus_faecalis_SF5039,388,78
Enterococcus_faecalis_SF6375,382,81
Enterococcus_faecalis_SS_6,381,82
Enterococcus_faecalis_SS_7,385,86
Enterococcus_faecalis_T10,392,85
Enterococcus_faecalis_T11,496,78
Enterococcus_faecalis_T12,379,80
Enterococcus_faecalis_T13,409,82
Enterococcus_faecalis_T14,387,84
Enterococcus_faecalis_T16,376,78
Enterococcus_faecalis_T17,364,78
Enterococcus_faecalis_T18,386,82
Enterococcus_faecalis_T19,378,78
Enterococcus_faecalis_T1,475,73
Enterococcus_faecalis_T20,373,81
Enterococcus_faecalis_T21,388,85
Enterococcus_faecalis_T2,476,75
Enterococcus_faecalis_T3,483,77
Enterococcus_faecalis_T4,375,81
Enterococcus_faecalis_T5,396,82
Enterococcus_faecalis_T6,398,82
Enterococcus_faecalis_T7,393,83
Enterococcus_faecalis_T8,496,82
Enterococcus_faecalis_T9,396,89
Enterococcus_faecalis_TR161,378,85
Enterococcus_faecalis_TR197,391,82
Enterococcus_faecalis_TUSoD_Ef11,471,73
Enterococcus_faecalis_TX0012,482,73
Enterococcus_faecalis_TX0017,460,71
Enterococcus_faecalis_TX0027,493,81
Enterococcus_faecalis_TX0031,477,73
Enterococcus_faecalis_TX0043,478,74
Enterococcus_faecalis_TX0102,484,76
Enterococcus_faecalis_TX0104,434,86
Enterococcus_faecalis_TX0109,480,78
Enterococcus_faecalis_TX0309A,476,74
Enterococcus_faecalis_TX0309B,478,76
Enterococcus_faecalis_TX0312,481,81
Enterococcus_faecalis_TX0411,506,77
Enterococcus_faecalis_TX0470,473,74
Enterococcus_faecalis_TX0630,483,80
Enterococcus_faecalis_TX0635_WH245,385,89
Enterococcus_faecalis_TX0645,500,83
Enterococcus_faecalis_TX0855,495,83
Enterococcus_faecalis_TX0860,479,62
Enterococcus_faecalis_TX1302,393,85
Enterococcus_faecalis_TX1322,401,95
Enterococcus_faecalis_TX1337RF,375,72
Enterococcus_faecalis_TX1341,506,78
Enterococcus_faecalis_TX1342,377,80
Enterococcus_faecalis_TX1346,486,77
Enterococcus_faecalis_TX2134,374,79
Enterococcus_faecalis_TX2137,488,75
Enterococcus_faecalis_TX2141,469,74
Enterococcus_faecalis_TX4000,485,73
Enterococcus_faecalis_TX4244,494,81
Enterococcus_faecalis_TX4248,477,77
Enterococcus_faecalis_UAA1014,410,82
Enterococcus_faecalis_UAA1180,399,82
Enterococcus_faecalis_UAA1489,387,82
Enterococcus_faecalis_UAA409,384,82
Enterococcus_faecalis_UAA702,401,84
Enterococcus_faecalis_UAA769,384,87
Enterococcus_faecalis_UAA823,391,84
Enterococcus_faecalis_UAA902,384,78
Enterococcus_faecalis_UAA903,396,83
Enterococcus_faecalis_UAA904,379,82
Enterococcus_faecalis_UAA905,390,85
Enterococcus_faecalis_UAA906,373,81
Enterococcus_faecalis_UAA907,377,80
Enterococcus_faecalis_UAA943,380,77
Enterococcus_faecalis_UAA948,391,65
Enterococcus_faecalis_V583,341,78
Enterococcus_faecalis_V587,384,88
Enterococcus_faecalis_WH257,382,90
Enterococcus_faecalis_WH571,400,94
Enterococcus_faecalis_X98,480,74
Enterococcus_faecalis_YI6_1,398,85
Enterococcus_faecalis_str_C_19315_led_1b_pp_SCV,407,84
Enterococcus_faecalis_str_Symbioflor_1,466,77
Enterococcus_faecium_109_A1,354,66
Enterococcus_faecium_1141733,479,59
Enterococcus_faecium_1230933,455,61
Enterococcus_faecium_1231408,441,62
Enterococcus_faecium_1231410,456,60
Enterococcus_faecium_1231501,478,62
Enterococcus_faecium_1231502,456,69
Enterococcus_faecium_2006_70_121,393,71
Enterococcus_faecium_504,451,55
Enterococcus_faecium_505,481,54
Enterococcus_faecium_7330381_1,326,69
Enterococcus_faecium_7330446_2,364,65
Enterococcus_faecium_7330519_3,354,70
Enterococcus_faecium_7330614_1,367,70
Enterococcus_faecium_7330884_2,314,69
Enterococcus_faecium_7430166_3,313,63
Enterococcus_faecium_841V03,375,69
Enterococcus_faecium_9730219_1,336,69
Enterococcus_faecium_9730357_1,376,77
Enterococcus_faecium_9731349_1,364,69
Enterococcus_faecium_9731352_4,353,67
Enterococcus_faecium_9830091_5,362,73
Enterococcus_faecium_9830512_2,370,69
Enterococcus_faecium_9830565_4,364,67
Enterococcus_faecium_9930238_2,362,67
Enterococcus_faecium_9931110_4,337,72
Enterococcus_faecium_A17_Sv1,325,67
Enterococcus_faecium_ATCC_8459,441,62
Enterococcus_faecium_Aus0004,458,70
Enterococcus_faecium_C309,437,64
Enterococcus_faecium_C68,465,64
Enterococcus_faecium_Com12,454,53
Enterococcus_faecium_Com15,475,62
Enterococcus_faecium_D344SRF,466,60
Enterococcus_faecium_DO,430,85
Enterococcus_faecium_E0045,353,65
Enterococcus_faecium_E0120,382,71
Enterococcus_faecium_E0164,349,77
Enterococcus_faecium_E0269,347,68
Enterococcus_faecium_E0333,399,74
Enterococcus_faecium_E0679,372,67
Enterococcus_faecium_E0680,381,66
Enterococcus_faecium_E0688,371,69
Enterococcus_faecium_E1007,386,70
Enterococcus_faecium_E1039,451,56
Enterococcus_faecium_E1050,362,64
Enterococcus_faecium_E1071,429,61
Enterococcus_faecium_E1133,376,72
Enterococcus_faecium_E1162,460,62
Enterococcus_faecium_E1185,373,67
Enterococcus_faecium_E1258,378,69
Enterococcus_faecium_E1293,367,66
Enterococcus_faecium_E1321,406,70
Enterococcus_faecium_E1392,375,76
Enterococcus_faecium_E1552,362,69
Enterococcus_faecium_E1573,395,67
Enterococcus_faecium_E1574,363,71
Enterococcus_faecium_E1575,384,75
Enterococcus_faecium_E1576,382,69
Enterococcus_faecium_E1578,386,68
Enterococcus_faecium_E1590,348,70
Enterococcus_faecium_E1604,384,73
Enterococcus_faecium_E1613,392,72
Enterococcus_faecium_E1620,358,65
Enterococcus_faecium_E1622,367,68
Enterococcus_faecium_E1623,385,68
Enterococcus_faecium_E1626,363,65
Enterococcus_faecium_E1627,363,67
Enterococcus_faecium_E1630,360,72
Enterococcus_faecium_E1634,387,75
Enterococcus_faecium_E1636,446,57
Enterococcus_faecium_E1644,381,74
Enterococcus_faecium_E1731,366,74
Enterococcus_faecium_E1861,373,68
Enterococcus_faecium_E1904,368,67
Enterococcus_faecium_E1972,382,71
Enterococcus_faecium_E2039,364,72
Enterococcus_faecium_E2071,369,68
Enterococcus_faecium_E2134,356,65
Enterococcus_faecium_E2297,396,71
Enterococcus_faecium_E2369,349,77
Enterococcus_faecium_E2560,368,73
Enterococcus_faecium_E2620,402,76
Enterococcus_faecium_E2883,328,68
Enterococcus_faecium_E2966,377,71
Enterococcus_faecium_E3083,371,69
Enterococcus_faecium_E3346,369,67
Enterococcus_faecium_E3548,371,72
Enterococcus_faecium_E4215,374,68
Enterococcus_faecium_E4389,381,70
Enterococcus_faecium_E6012,373,69
Enterococcus_faecium_E6045,394,79
Enterococcus_faecium_E8sv3,357,66
Enterococcus_faecium_E980,446,60
Enterococcus_faecium_ERV1,443,63
Enterococcus_faecium_EnGen0305,470,55
Enterococcus_faecium_EnGen0308,447,62
Enterococcus_faecium_EnGen0312,417,64
Enterococcus_faecium_EnGen0314,417,62
Enterococcus_faecium_EnGen0316,413,64
Enterococcus_faecium_EnGen0318,436,62
Enterococcus_faecium_EnGen0319,425,66
Enterococcus_faecium_EnGen0321,434,63
Enterococcus_faecium_EnGen0323,407,59
Enterococcus_faecium_EnGen0375,420,60
Enterococcus_faecium_EnGen0376,427,61
Enterococcus_faecium_EnGen0377,413,65
Enterococcus_faecium_F9730129_1,373,67
Enterococcus_faecium_H17243,372,74
Enterococcus_faecium_H17575,366,67
Enterococcus_faecium_HF50104,366,67
Enterococcus_faecium_HF50105,325,65
Enterococcus_faecium_HF50106,341,73
Enterococcus_faecium_HF50203,330,71
Enterococcus_faecium_HF50204,351,68
Enterococcus_faecium_HF50215,360,70
Enterococcus_faecium_HM1071,363,74
Enterococcus_faecium_HM1072,365,78
Enterococcus_faecium_HM1073,358,70
Enterococcus_faecium_HM1074,375,69
Enterococcus_faecium_LCT_EF128,427,58
Enterococcus_faecium_LCT_EF20,424,60
Enterococcus_faecium_LCT_EF258,421,57
Enterococcus_faecium_LCT_EF90,411,60
Enterococcus_faecium_PC4_1,471,57
Enterococcus_faecium_S658_3,369,68
Enterococcus_faecium_TC_6,428,58
Enterococcus_faecium_TX0082,449,61
Enterococcus_faecium_TX0133A,440,60
Enterococcus_faecium_TX0133B,441,60
Enterococcus_faecium_TX0133C,441,59
Enterococcus_faecium_TX0133a04,446,59
